Name	SMILES
NuBBE_1191 	Permeable
NuBBE_1192 	Permeable
NuBBE_1193 	Permeable
NuBBE_1194 	Non-Permeable
NuBBE_1195 	Permeable
NuBBE_1196 	Non-Permeable
NuBBE_1197 	Permeable
NuBBE_1198 	Permeable
NuBBE_1199 	Permeable
NuBBE_119 	Non-Permeable
NuBBE_11 	Non-Permeable
NuBBE_1200 	Non-Permeable
NuBBE_1201 	Permeable
NuBBE_1202 	Non-Permeable
NuBBE_1203 	Permeable
NuBBE_1204 	Permeable
NuBBE_1205 	Non-Permeable
NuBBE_1206 	Non-Permeable
NuBBE_1207 	Permeable
NuBBE_1208 	Non-Permeable
NuBBE_1209 	Permeable
NuBBE_120 	Non-Permeable
NuBBE_1210 	Permeable
NuBBE_1211 	Permeable
NuBBE_1212 	Permeable
NuBBE_1213 	Permeable
NuBBE_1214 	Permeable
NuBBE_1215 	Non-Permeable
NuBBE_1216 	Non-Permeable
NuBBE_1217 	Non-Permeable
NuBBE_1218 	Non-Permeable
NuBBE_1219 	Non-Permeable
NuBBE_121 	Non-Permeable
NuBBE_1220 	Non-Permeable
NuBBE_1221 	Non-Permeable
NuBBE_1222 	Non-Permeable
NuBBE_1223 	Non-Permeable
NuBBE_1224 	Non-Permeable
NuBBE_1225 	Non-Permeable
NuBBE_1226 	Non-Permeable
NuBBE_1227 	Permeable
NuBBE_1228 	Permeable
NuBBE_1229 	Permeable
NuBBE_122 	Non-Permeable
NuBBE_1230 	Permeable
NuBBE_1231 	Permeable
NuBBE_1232 	Non-Permeable
NuBBE_1234 	Permeable
NuBBE_1235 	Permeable
NuBBE_1236 	Non-Permeable
NuBBE_1237 	Permeable
NuBBE_1238 	Non-Permeable
NuBBE_1239 	Non-Permeable
NuBBE_123 	Non-Permeable
NuBBE_1240 	Permeable
NuBBE_1241 	Non-Permeable
NuBBE_1242 	Non-Permeable
NuBBE_1243 	Non-Permeable
NuBBE_1244 	Non-Permeable
NuBBE_1245 	Non-Permeable
