Name	Permeability
CHEMBL2113177	Non-Permeable
CHEMBL302029	Permeable
CHEMBL302297	Non-Permeable
CHEMBL31986	Non-Permeable
CHEMBL31941	Permeable
CHEMBL2113211	Permeable
CHEMBL372122	Permeable
CHEMBL2037515	Non-Permeable
CHEMBL2037507	Non-Permeable
CHEMBL2037504	Non-Permeable
CHEMBL482321	Permeable
CHEMBL306010	Non-Permeable
CHEMBL4127791	Non-Permeable
CHEMBL3814126	Non-Permeable
CHEMBL104237	Permeable
CHEMBL31163	Non-Permeable
CHEMBL30865	Non-Permeable
CHEMBL66985	Non-Permeable
CHEMBL24353	Non-Permeable
CHEMBL262384	Permeable
CHEMBL196603	Non-Permeable
CHEMBL66240	Non-Permeable
CHEMBL2112378	Non-Permeable
CHEMBL590349	Non-Permeable
CHEMBL284688	Non-Permeable
CHEMBL32740	Non-Permeable
CHEMBL2113213	Non-Permeable
CHEMBL459073	Permeable
CHEMBL410420	Non-Permeable
CHEMBL3814744	Non-Permeable
CHEMBL3815099	Non-Permeable
CHEMBL2113201	Non-Permeable
CHEMBL2113203	Non-Permeable
CHEMBL2113210	Permeable
CHEMBL3814633	Non-Permeable
CHEMBL1779406	Permeable
CHEMBL1779419	Non-Permeable
CHEMBL1779400	Non-Permeable
CHEMBL2369842	Non-Permeable
CHEMBL31350	Non-Permeable
CHEMBL473442	Permeable
CHEMBL482323	Permeable
CHEMBL521444	Permeable
CHEMBL520595	Permeable
CHEMBL105514	Permeable
CHEMBL2369836	Non-Permeable
CHEMBL3813722	Non-Permeable
CHEMBL3814232	Non-Permeable
CHEMBL30315	Non-Permeable
CHEMBL24682	Permeable
CHEMBL30910	Permeable
CHEMBL24806	Non-Permeable
CHEMBL458872	Non-Permeable
CHEMBL2035013	Non-Permeable
CHEMBL2035011	Non-Permeable
CHEMBL69265	Non-Permeable
CHEMBL296908	Permeable
CHEMBL1091817	Permeable
CHEMBL2113204	Non-Permeable
CHEMBL105039	Permeable
CHEMBL1779401	Permeable
CHEMBL30587	Non-Permeable
CHEMBL31556	Permeable
CHEMBL287629	Permeable
CHEMBL194374	Non-Permeable
CHEMBL372554	Non-Permeable
CHEMBL273988	Permeable
CHEMBL194233	Permeable
CHEMBL371291	Non-Permeable
CHEMBL198964	Non-Permeable
CHEMBL372978	Non-Permeable
CHEMBL1790719	Non-Permeable
CHEMBL271456	Non-Permeable
CHEMBL401910	Non-Permeable
CHEMBL1643588	Non-Permeable
CHEMBL1643589	Non-Permeable
CHEMBL1093366	Permeable
CHEMBL287067	Permeable
CHEMBL457998	Non-Permeable
CHEMBL341339	Permeable
CHEMBL4204008	Permeable
CHEMBL3814617	Non-Permeable
CHEMBL4212928	Permeable
CHEMBL200415	Permeable
CHEMBL283894	Permeable
CHEMBL373742	Non-Permeable
CHEMBL28627	Permeable
CHEMBL1779404	Non-Permeable
CHEMBL2369424	Non-Permeable
CHEMBL4206233	Permeable
CHEMBL1765665	Non-Permeable
CHEMBL142324	Non-Permeable
